From: LoL-Client || At: 2017.11.12.05.40.24|| Message: ASD
From: LoL-Client || At: 2017.11.12.05.40.31|| Message: CANCER
From: LoL-Client || At: 2017.11.12.05.40.37|| Message: KURVA
From: LoL-Client || At: 2017.11.12.05.40.47|| Message: ANYAD
From: LoL-Client || At: 2017.11.12.05.40.48|| Message: TE
From: LoL-Client || At: 2017.11.12.05.40.48|| Message: GECI
