From: LoL-Client || At: 2017.11.14.16.56.34|| Message: ASDASDASDSA
From: LoL-Game || At: 2017.11.14.16.56.34|| Message: 
From: LoL-Client || At: 2017.11.14.16.56.38|| Message: 
