From: LoL-Client || At: 2017.11.12.05.44.58|| Message: ASDSADASDSADSADSA
From: LoL-Client || At: 2017.11.12.05.45.05|| Message: CANCER
From: LoL-Client || At: 2017.11.12.05.45.07|| Message: ANYAD
From: LoL-Client || At: 2017.11.12.05.45.07|| Message: TE
From: LoL-Client || At: 2017.11.12.05.45.08|| Message: GECI
