From: LoL-Client || At: 2017.11.14.15.38.26|| Message: QWEQWEQWE
From: LoL-Game || At: 2017.11.14.15.38.26|| Message: 
From: LoL-Client || At: 2017.11.14.15.38.38|| Message: 
